approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.0026678322,0.10796831,2335.818181818182,63.076569272727276,-0.06301581859588623,321,1,2.8306751,-0.0043853004,1024,66.91939282417297,21504,0.015958367
0.00404365,0.23721161,2905.12,1347.5821652099999,0.89505735039711,330,100,2.2407649,-0.012767652,102400,6477.210911273956,2150400,0.19082382
0.005172176,0.26547387,2994.13,1868.73157978,0.9453374966979027,328,200,1.8507801,-0.011924252,204800,12990.987314462662,4300800,0.20918123
0.006571283,0.26482287,4088.22,2824.22800155,0.9450143426656723,310,300,1.4484384,-0.012307559,307200,19630.08233308792,6451200,0.17118964
0.007921617,0.25072068,4457.11,3320.50994663,0.9512710683047771,331,400,1.1281139,-0.011359892,409600,26117.220485687256,8601600,0.1473384
0.007467052,0.21166998,5607.19,4182.847176360001,0.9418472982943058,329,500,0.8650844,-0.010482748,512000,32606.85303401947,10752000,0.18058923
0.0084988,0.18377979,6005.43,4690.1448105,0.9578654617071152,329,600,0.6801449,-0.010781835,614400,39110.457653045654,12902400,0.16902632
0.007774879,0.16610861,6701.49,5195.5928101,0.9589334465563297,327,700,0.58407944,-0.009573316,716800,45623.00186800957,15052800,0.17288376
0.010846671,0.16832916,8438.8,6541.85493472,0.97706263884902,327,800,0.5107276,-0.008616295,819200,52163.09749150276,17203200,0.096028276
0.010969985,0.16128401,7758.97,6164.047397229999,0.9707111194729805,332,900,0.44606838,-0.009649856,921600,58691.49424648285,19353600,0.09278346
0.008735948,0.17079367,7488.99,5921.503075779999,0.9591988362371922,329,1000,0.5680754,-0.0109876,1024000,65219.63990545273,21504000,0.17478639
