r,l,t
85.990087,3533,44.957591
33.990035,1128,71.063428
33.990035,501,76.809993
2.990004,393,81.417334
44.990046,768,91.304125
55.990057,356,95.811668
35.990037,855,106.155122
13.990015,421,112.113345
-1.01,178,114.734557
15.990017,582,135.760796
-1.01,420,141.821563
12.990014,392,147.452267
71.990073,298,151.783255
-1.01,178,154.29487
19.990021,436,160.4469
24.990026,382,165.927353
115.990117,864,178.369924
9.990011,513,185.745324
50.990052,535,206.221084
145.990088,364,211.384937
139.990141,660,220.640215
70.990072,416,226.694977
-1.01,276,230.617195
-1.01,381,236.185335
-1.01,296,240.484419
45.990047,400,246.141392
50.990052,394,251.84007
116.990118,553,272.732058
0.990002,255,275.821847
182.990184,1016,287.789037
131.990104,537,294.05336
71.99,319,297.73393
50.99,529,303.814456
80.990082,393,308.229341
81.990083,493,313.832124
0.990002,216,316.298848
99.990101,438,333.397096
166.990168,746,341.793655
13.990015,251,344.63647
164.990166,437,349.801431
113.990109,483,355.376651
66.99,253,358.345397
179.990101,691,366.328418
815.990407,1976,400.942993
136.990069,465,406.421416
-1.01,307,409.93719
-2.01,401,414.449369
101.990103,449,419.837372
157.990159,453,425.071348
134.990136,419,429.879949
23.990025,364,434.064551
98.9901,309,449.677112
-1.01,289,452.908071
296.990298,745,461.337428
156.990158,496,466.798442
20.990022,397,471.329777
96.990098,496,476.802222
-1.01,168,478.645301
50.990052,418,483.396244
5.990007,213,485.77739
16.990018,175,487.764142
276.990278,784,508.766972
14.99,192,510.878236
1.99,170,512.778341
99.99,250,515.60932
125.990093,496,521.16591
393.990395,1013,532.417444
-1.01,247,535.166843
146.990148,588,541.73943
95.990091,341,545.549384
77.99,449,550.592772
52.99,309,566.250753
112.990099,471,571.488516
30.990032,223,573.999776
372.990374,1043,585.543198
6.990008,521,591.360203
56.990058,344,595.219317
212.990214,666,602.582892
-1.01,339,606.34936
-1.01,219,608.831683
-1.01,259,623.893113
-1.01,283,627.051974
32.990034,187,629.235051
136.99009,1403,645.184553
58.99,239,647.945029
6.99,198,650.226231
49.99,220,652.722184
51.99,234,655.434777
6.99,167,657.328016
33.99,225,659.919417
448.990409,1624,690.485113
-1.01,212,692.898613
25.990027,175,694.885287
127.990129,377,699.148156
22.990024,209,701.592663
35.990037,209,703.977423
273.990275,546,710.180634
17.990019,267,713.186725
138.99014,336,716.97396
145.990147,412,721.608602
208.99021,479,726.95501
169.990171,441,744.093406
301.990303,855,753.673207
69.99,241,756.389033
82.990001,865,766.100689
36.990038,168,767.995178
310.990312,636,775.065003
373.990375,692,782.683514
73.99,225,797.475803
191.990114,615,804.251268
36.990038,271,807.260567
346.990348,746,815.662995
228.99023,637,822.753295
43.990045,272,825.767137
158.990134,1260,839.886417
62.99,222,842.432288
56.99,209,856.93855
64.99,207,859.308522
577.990411,1592,877.465566
71.990038,174,879.473206
7.990009,303,882.964704
195.990197,608,889.942868
133.990135,401,894.714082
30.990032,330,898.547266
-1.01,243,901.410743
