r,l,t
202.990204,4838,71.814114
-1.01,449,77.112253
34.990036,447,82.856336
39.990041,750,91.477925
8.99001,1193,105.027664
150.990152,818,127.158216
143.990145,661,135.399773
-1.01,750,144.210479
-1.01,349,148.324472
12.990014,477,153.712122
155.990157,1250,167.998149
-1.01,490,185.471159
-1.01,168,187.353674
69.990071,613,194.224469
87.990089,533,200.132533
-1.01,167,202.022148
51.990053,480,207.352382
127.990129,856,216.749203
-1.01,457,221.860619
101.990103,585,228.540477
249.990249,1056,251.972668
107.99,241,254.688509
41.99,287,257.890907
127.990129,497,263.42732
185.990187,829,272.707211
101.990103,367,276.766662
135.990137,706,284.676147
177.990169,706,304.178273
82.99,257,307.06809
194.990136,594,313.778121
372.990374,1626,331.970138
1.990003,168,333.821285
57.990059,333,337.556594
-1.01,298,340.991053
-0.009999,176,342.95795
29.990031,392,359.078002
122.990124,537,365.047977
-1.01,254,367.91019
-1.01,454,373.197444
-1.01,184,375.267725
378.99038,868,385.139676
238.99024,629,392.295644
149.990151,470,397.737982
173.990175,629,416.606044
201.990203,771,425.379709
63.990065,242,428.109305
243.990239,623,435.105881
70.99,235,437.78374
74.99,228,440.358781
366.990368,904,450.508964
46.990048,302,453.886067
322.99031,740,473.824713
65.99,219,476.286637
55.99,226,478.829937
167.990153,451,483.835695
386.990388,860,493.5011
37.990039,222,495.962155
193.990195,690,503.637388
-0.009999,309,507.076613
168.990134,1311,533.204128
65.99,213,535.64884
41.99,193,537.794313
74.99,355,541.72171
42.99,190,543.829798
534.99045,1784,563.473374
4.990006,244,566.168695
191.990193,1866,598.506013
103.990105,571,604.930559
46.990048,316,608.532984
55.990057,212,610.882804
-1.01,204,613.181696
-1.01,231,615.8081
49.990051,305,619.304807
7.990009,343,623.287794
-1.01,268,626.349144
-1.01,239,629.095892
11.990013,207,643.106031
-1.01,216,645.605087
435.990437,835,655.117512
-1.01,168,657.049076
303.990305,586,663.854051
112.990071,239,666.641241
81.990083,441,671.788498
251.990253,520,677.703849
75.990077,206,680.038724
249.990229,663,687.437453
65.99,216,701.663006
38.99,379,705.921292
204.990181,619,712.855604
234.990236,560,719.135555
52.990054,210,721.502939
256.990256,588,728.036205
66.99,280,731.153377
50.99,231,733.743441
171.990141,510,739.423411
371.990373,808,760.033336
57.990059,266,763.054163
204.990206,559,769.275639
15.990017,233,771.860514
145.990117,1128,784.25307
68.99,328,787.962035
60.99,221,790.462569
49.99,371,794.587762
38.99,181,796.628215
567.990423,1536,825.675093
66.990034,361,829.748578
