r,l,t
487.950031,5258,102.378498
676.950031,4950,189.749017
474.950031,5241,287.096883
188.95,4636,368.21108
499.95003,5572,470.276906
486.95003,5374,565.753951
452.95003,3707,629.936828
615.95003,3184,690.050585
514.950031,8071,831.813818
538.950031,4964,921.727851
526.95003,5916,1028.765734
570.95003,4643,1114.098318
525.95003,4548,1194.579193
660.95003,7357,1326.001233
689.95003,4223,1401.428545
1484.950061,3550,1466.965275
996.95003,4427,1545.160599
1199.950053,4301,1621.452205
1507.950061,3385,1684.632092
1557.95006,6959,1806.00122
601.95003,3730,1874.212956
1552.950061,4678,1959.631069
1480.950061,3819,2025.112645
912.95003,3155,2081.568291
990.95003,2938,2134.708448
1404.950061,3012,2188.923992
1422.950061,4039,2261.672494
1493.950062,2846,2313.441372
984.95003,5981,2421.51837
1380.950061,2323,2461.940378
1480.950061,2457,2508.25467
950.95003,5038,2595.656688
1563.950061,3785,2664.841231
1524.950064,3574,2730.92745
1438.950061,3459,2791.657528
1510.950061,3263,2849.624572
1505.950061,3902,2920.330304
1539.950061,3994,2992.449635
1516.950061,3678,3060.149723
1473.95006,2656,3105.530894
1526.950064,5670,3209.002531
1502.950061,3368,3268.567524
1429.950064,3198,3325.832056
1672.950088,4832,3413.783375
1518.950061,3360,3473.090258
110.95,5086,3564.627794
650.95003,5159,3656.851185
1524.950061,7949,3801.072154
1549.950061,3378,3860.478473
1505.950061,3329,3919.340694
1525.950061,2911,3972.272604
1539.950061,3100,4027.897037
992.95003,2447,4074.080512
586.950031,5043,4165.123667
929.95003,3423,4225.268706
1488.950061,3157,4281.616997
1461.950061,1816,4315.193223
1486.950061,3411,4375.29638
1462.950061,2486,4421.99131
590.950039,2842,4470.348211
1481.950061,2109,4507.892493
1516.950061,2180,4550.301884
1532.950061,6472,4665.269239
1531.950061,4061,4738.094265
1548.950061,3876,4808.380455
2040.950091,3773,4873.572113
1505.950061,3374,4936.95433
1589.950061,5856,5039.429652
1552.950061,4361,5120.127257
1492.950061,3877,5186.94803
1535.950061,2955,5240.056732
1581.950061,3291,5298.662328
1430.950061,2953,5352.18806
1455.950061,2438,5398.170988
1432.950061,3117,5454.212057
1562.950061,5154,5546.734527
1617.950061,5426,5643.019481
1564.950061,6271,5755.248723
1540.950061,3512,5820.354822
1405.950061,1918,5855.274368
2121.950092,3218,5912.450448
1593.950061,5006,6002.722294
1582.950061,5748,6103.449596
2272.950092,4637,6188.440195
1625.950061,3350,6247.669955
2069.950092,3541,6309.53217
1496.950061,3321,6372.010102
2126.950092,4537,6451.724117
1495.950061,4345,6528.575709
1512.950061,4530,6612.250313
2270.950092,3040,6666.888202
2160.950092,4256,6742.609688
1977.950092,2834,6794.326329
2056.950092,3514,6855.791693
1638.950061,3243,6913.120735
2044.950092,3025,6967.436154
2026.950092,13923,7218.864616
2304.950092,4977,7308.711942
1628.950061,3330,7367.910275
2107.950093,3366,7427.898232
2342.950092,3939,7498.96132
1600.950061,3226,7556.529961
1883.950085,3036,7610.827104
2272.950091,3979,7682.794864
1630.950061,2470,7729.390099
2134.950092,3890,7796.450531
2304.950091,4256,7872.340505
2178.950092,4542,7955.806519
2288.950091,4943,8618.507064
