r,l,t
-18.079462,6313,93.670079
-61.069469,3823,158.073174
-94.069468,3511,216.677191
-69.069471,3830,281.074542
221.93068,3872,343.435862
-79.069469,3036,380.072501
-128.06947,3578,438.922032
-86.06947,3317,495.050259
-457.069771,1738,533.805604
-82.06947,2874,566.0877
-157.069471,3285,625.802182
-79.06947,3277,681.662298
-462.069776,1843,702.18912
90.930549,3450,759.94715
-59.069471,3184,814.652296
-474.069788,2457,861.409987
-457.069771,1591,879.059881
-66.06947,2897,930.330573
-157.069471,2556,958.858966
-54.06947,4011,1022.925652
-48.06947,3015,1076.112601
97.930556,4043,1140.665176
92.930551,3757,1201.906309
226.930685,3129,1255.922063
109.930568,4319,1322.991661
-145.069471,2576,1351.841491
90.930549,4057,1416.019302
-115.069469,3258,1471.299682
228.930687,3707,1532.085958
-59.069469,3832,1594.260612
124.930583,3642,1653.85724
-89.069469,3616,1712.970431
-146.06947,3687,1772.397031
-75.06947,2816,1803.316622
-55.069469,9876,1969.723999
-79.069469,2694,1999.631653
-89.069469,3633,2059.168241
84.930543,2943,2110.911388
255.930714,4031,2174.969761
-39.069469,3428,2232.430243
-37.069469,2410,2259.367453
-81.069469,3117,2313.010152
-55.069469,3816,2374.715814
461.93092,5466,2454.367752
100.930559,5652,2555.083821
473.930932,3556,2613.406227
-108.06947,19768,2928.794395
231.93069,4107,2993.468934
350.930809,3545,3032.766197
469.930928,3241,3087.754206
229.930688,3999,3151.054402
449.930908,4285,3217.782139
303.930761,4523,3287.113083
414.930873,3785,3348.653546
368.930827,3963,3411.745006
92.930551,3887,3473.979553
362.920919,4307,3540.979835
458.930917,3965,3604.216577
241.9307,3240,3659.412733
362.920919,4698,3730.593074
628.931087,3589,3789.477524
238.930697,3990,3852.6863
111.93057,3668,3912.110343
460.930919,2725,3961.351273
450.921006,3697,4002.279005
479.930938,3778,4063.423506
247.930706,3248,4118.910048
101.93056,3474,4177.091616
112.930571,2864,4228.259516
441.9309,4362,4295.928308
714.92127,4174,4361.579637
496.930955,4430,4429.630079
249.930708,2739,4479.187335
271.93073,2476,4506.642294
716.921273,4081,4571.229812
463.930922,3737,4631.882174
715.921272,3872,4693.978188
729.921285,4209,4759.958465
497.930956,3259,4815.191252
382.920939,3379,4872.153656
713.921269,4105,4937.166164
578.931037,4036,5000.976304
284.930742,3280,5037.424477
721.921278,4506,5125.83173
394.920951,3539,5165.059087
2080.931985,5334,5262.425517
750.931209,3688,5322.369774
366.930825,2820,5353.5892
567.931026,3575,5412.23114
1509.931622,3712,5472.211118
732.931191,2922,5523.635633
551.93101,3479,5581.145409
2146.931985,5718,5663.372581
1142.921618,4063,5727.552902
1887.921986,5408,5806.738196
2007.921981,5623,5907.162614
1090.921618,3901,5969.42608
2106.931985,5844,6053.228369
476.930935,3084,6106.43778
1409.921619,3666,6166.468911
553.931012,2779,6197.160794
716.921273,3790,6258.600456
799.921356,4012,6322.052864
2223.931986,6701,6434.158154
1111.92162,3800,6495.257866
1508.921618,4027,6558.888827
2048.921985,6942,6673.939662
1118.921618,3570,6713.271646
2392.931985,7686,6836.031362
2163.931986,5751,6937.592777
2130.931985,8826,7072.750606
2099.931984,5013,7146.554128
2038.921983,10986,7324.306999
