r,l,t
155.990157,4873,94.470216
-1.01,260,98.062099
-1.01,314,102.412671
94.990096,929,115.219488
-1.01,178,117.724048
-1.01,509,124.775841
-1.01,126,126.557421
-1.01,153,128.739177
-1.01,154,130.885043
-1.01,146,132.961561
-1.01,485,139.767011
-1.01,126,208.374638
-1.01,126,210.157955
-1.01,159,212.376133
-1.01,278,216.301738
-1.01,346,221.193766
-1.01,353,226.215846
-1.01,126,227.994557
-1.01,126,229.795476
-1.01,370,234.987187
-1.01,185,237.585442
-1.01,289,241.663034
-1.01,126,243.453857
-1.01,126,245.276902
-1.01,126,247.053163
-1.01,126,248.812913
-1.01,423,254.746738
-1.01,290,258.857154
-1.01,304,263.182373
-1.01,126,286.504861
-1.01,126,288.253683
-1.01,126,290.013881
-1.01,183,292.546646
-1.01,126,294.324104
-1.01,126,296.089792
-1.01,185,298.724175
-1.01,143,300.703203
-1.01,282,304.63486
-1.01,158,306.919864
-1.01,323,311.446306
-1.01,225,314.577026
-1.01,159,316.818791
-1.01,734,327.061759
-1.01,351,331.99735
-1.01,162,334.296959
-1.01,126,336.077727
-1.01,126,337.881798
-1.01,257,341.568351
-1.01,232,366.224199
-1.01,162,368.498031
-1.01,541,376.098114
-1.01,126,377.843127
-1.01,260,381.481023
-1.01,152,383.592911
-1.01,162,385.834107
-1.01,126,387.581793
-1.01,159,389.827667
-1.01,761,400.348322
-1.01,126,402.129666
-1.01,126,403.897691
-1.01,231,407.118757
-1.01,126,408.872356
-1.01,126,410.654521
-1.01,174,413.06376
-1.01,158,415.318557
-1.01,224,418.464656
-1.01,216,443.228732
-1.01,126,444.945976
-1.01,164,447.210474
-1.01,164,449.464328
-1.01,126,451.227632
-1.01,126,452.99765
-1.01,126,454.75369
-1.01,181,457.304209
-1.01,126,459.074013
-1.01,378,464.335655
-1.01,178,466.853455
-1.01,153,469.095371
-1.01,126,470.88123
-1.01,283,474.881376
-1.01,126,476.616567
-1.01,186,479.17529
-1.01,778,489.965955
-1.01,132,491.789256
-1.01,154,493.973909
-1.01,243,497.475213
-1.01,126,499.346461
-1.01,126,522.576855
-1.01,164,524.872202
-1.01,126,526.625494
-1.01,210,529.849664
-1.01,194,532.538182
-1.01,126,534.472146
-1.01,153,536.648931
-1.01,523,544.229065
-1.01,155,546.529244
-1.01,146,548.705652
-1.01,126,550.593819
-1.01,126,552.35568
-1.01,126,554.251673
246.990248,669,563.786427
-1.01,177,566.373884
-1.01,126,568.125859
-1.01,164,570.419697
0.990002,126,572.295897
-1.01,126,574.193617
-1.01,339,579.013912
-1.01,126,602.824257
-1.01,177,605.28599
-1.01,126,607.05165
-1.01,126,608.929211
-1.01,126,610.71782
-1.01,444,617.171828
-1.01,126,618.966372
-1.01,321,623.43252
-1.01,189,626.084559
-1.01,192,628.705298
-1.01,126,630.489676
-1.01,159,632.711377
-1.01,126,634.473664
-1.01,210,637.421678
-1.01,126,639.177698
-1.01,126,640.926119
-1.01,173,643.317516
-1.01,126,645.090543
-0.009999,181,647.596251
-1.01,310,651.877715
-1.01,126,653.670171
-1.01,126,655.459168
-1.01,156,657.639295
-1.01,126,682.125728
-1.01,193,684.811844
-1.01,158,687.026248
-1.01,135,688.883291
-1.01,126,690.651018
-1.01,126,692.449644
-1.01,142,694.432137
-1.01,150,696.508724
-1.01,126,698.245083
-1.01,126,700.011183
-0.009999,156,702.164819
-1.01,154,704.280634
-1.01,126,706.045856
-1.01,261,709.654227
-1.01,153,711.856457
-1.01,132,713.691966
-1.01,186,716.332321
-1.01,140,718.23032
-1.01,126,719.96526
-1.01,276,724.076643
-1.01,189,726.706215
-1.01,158,728.934375
-1.01,142,730.907027
-1.01,126,732.650006
-1.01,144,734.675623
-1.01,150,736.735673
-1.01,154,760.55335
-1.01,168,762.84559
-1.01,156,764.977882
-1.01,140,766.892041
-1.01,144,768.884778
-1.01,142,770.846914
-1.01,194,773.476473
-1.01,309,777.72285
-1.01,164,779.993798
-1.01,191,782.567802
-1.01,126,784.349425
-1.01,126,786.107196
-1.01,906,798.693723
-1.01,144,800.693965
-1.01,150,806.278534
-1.01,156,808.440921
-1.01,126,810.173205
-1.01,126,811.90949
-1.01,126,813.714904
-1.01,126,815.489729
-1.01,158,817.701042
-1.01,301,843.988214
-1.01,126,845.737641
-1.01,310,850.05557
-1.01,162,852.299934
-1.01,290,856.31253
-1.01,126,858.062308
-1.01,126,859.795739
-1.01,328,864.336732
-1.01,158,866.513371
-1.01,138,868.446348
-1.01,126,870.202776
-1.01,345,875.008216
-1.01,158,877.25309
-1.01,184,879.776114
-1.01,162,882.013688
-1.01,126,883.77339
-1.01,126,885.581604
-1.01,166,887.869704
-1.01,126,889.62579
-1.01,126,891.417339
-1.01,126,893.234431
-1.01,126,894.989897
-1.01,162,897.306595
239.990241,611,927.348869
0.990002,259,930.90661
-1.01,178,933.424515
-1.01,126,935.169755
-1.01,505,942.164195
-1.01,126,943.877081
-1.01,324,948.412774
-1.01,177,950.89188
-1.01,140,952.811194
-0.009999,126,954.557428
-1.01,312,958.873954
-0.009999,159,961.094201
-1.01,138,963.031944
2.990004,126,964.79277
-1.01,126,966.557848
-1.01,132,968.387291
-1.01,649,998.95943
-1.01,449,1005.180194
-1.01,398,1010.769776
-1.01,270,1014.536256
-1.01,186,1017.173749
-1.01,605,1025.66133
-1.01,304,1029.89608
-1.01,317,1034.332234
-1.01,160,1036.58149
-1.01,255,1040.108549
45.990047,349,1044.992205
6.990008,171,1047.410596
-1.01,135,1049.288332
-1.01,162,1051.548216
-1.01,161,1053.833071
-1.01,222,1078.530097
-1.01,135,1080.482892
210.990212,586,1088.644142
-1.01,239,1092.025637
219.990182,709,1101.92924
31.990018,162,1104.232796
218.99022,633,1113.078819
187.990189,615,1122.015332
